close,date,high,low,marketcap,open,volume
0.681618,"Oct 15, 2018",0.688064,0.601995,"264,080,175",0.612492,"28,957,400"
0.616835,"Oct 14, 2018",0.638287,0.612331,"238,981,211",0.617712,"11,520,700"
0.618583,"Oct 13, 2018",0.620138,0.598992,"239,658,441",0.598992,"10,213,000"
0.600053,"Oct 12, 2018",0.621331,0.586310,"232,479,338",0.593716,"11,875,300"
0.601099,"Oct 11, 2018",0.726290,0.595645,"232,884,591",0.726290,"23,016,300"
0.727202,"Oct 10, 2018",0.727202,0.672203,"281,740,845",0.698484,"14,667,400"
0.699270,"Oct 09, 2018",0.705481,0.680638,"270,919,113",0.699555,"11,558,900"
0.698349,"Oct 08, 2018",0.703965,0.671903,"270,562,289",0.673511,"14,319,100"
0.674838,"Oct 07, 2018",0.675964,0.658412,"261,453,391",0.669517,"10,110,100"
0.667425,"Oct 06, 2018",0.687054,0.663169,"258,581,362",0.684031,"9,782,120"
0.683684,"Oct 05, 2018",0.684616,0.662270,"264,880,608",0.670487,"12,192,000"
0.670145,"Oct 04, 2018",0.686492,0.667686,"259,635,175",0.670025,"10,670,400"
0.666897,"Oct 03, 2018",0.689364,0.658329,"258,376,798",0.687306,"13,288,800"
0.692558,"Oct 02, 2018",0.707598,0.669681,"268,318,674",0.669681,"18,707,900"
0.667990,"Oct 01, 2018",0.686483,0.657195,"258,800,261",0.657942,"14,920,100"
0.656138,"Sep 30, 2018",0.661013,0.643421,"254,208,425",0.657266,"9,634,880"
0.657091,"Sep 29, 2018",0.660357,0.632378,"254,577,647",0.648775,"10,751,100"
0.649910,"Sep 28, 2018",0.689105,0.641933,"251,795,502",0.679834,"15,807,000"
0.677373,"Sep 27, 2018",0.684063,0.639424,"262,435,529",0.644860,"13,932,500"
0.645961,"Sep 26, 2018",0.667003,0.617034,"250,265,536",0.640961,"13,225,700"
0.640946,"Sep 25, 2018",0.656361,0.610674,"248,322,568",0.656361,"14,744,200"
0.659676,"Sep 24, 2018",0.725580,0.654060,"255,579,157",0.706025,"19,278,100"
0.704763,"Sep 23, 2018",0.710530,0.673224,"273,047,273",0.685486,"16,785,000"
0.681550,"Sep 22, 2018",0.726171,0.648860,"264,053,830",0.720552,"17,570,400"
0.714739,"Sep 21, 2018",0.721531,0.626183,"276,912,288",0.643563,"30,060,200"
0.642182,"Sep 20, 2018",0.652281,0.592071,"248,801,433",0.596326,"17,326,300"
0.595847,"Sep 19, 2018",0.610918,0.572045,"230,849,802",0.603364,"16,095,500"
0.603323,"Sep 18, 2018",0.612714,0.572880,"233,746,238",0.585363,"15,696,500"
0.586445,"Sep 17, 2018",0.653040,0.579239,"227,207,172",0.643684,"22,656,300"
0.639882,"Sep 16, 2018",0.647367,0.619686,"247,910,341",0.635458,"14,666,500"
0.639137,"Sep 15, 2018",0.669808,0.621134,"247,621,704",0.623948,"19,150,100"
0.625935,"Sep 14, 2018",0.655392,0.607623,"242,506,836",0.640617,"20,207,600"
0.636745,"Sep 13, 2018",0.660162,0.594880,"246,694,969",0.594880,"26,618,700"
0.592637,"Sep 12, 2018",0.597171,0.530302,"229,606,147",0.580672,"16,571,300"
0.580631,"Sep 11, 2018",0.630785,0.561278,"224,954,646",0.624300,"15,918,300"
0.618157,"Sep 10, 2018",0.645931,0.608251,"239,493,395",0.634155,"12,957,000"
0.627519,"Sep 09, 2018",0.680603,0.616336,"243,120,527",0.639941,"17,708,900"
0.637472,"Sep 08, 2018",0.717538,0.624823,"246,976,631",0.697474,"19,615,200"
0.691708,"Sep 07, 2018",0.774963,0.689969,"267,989,357",0.745436,"23,232,300"
0.739583,"Sep 06, 2018",0.771250,0.699112,"286,537,633",0.761281,"28,132,400"
0.766455,"Sep 05, 2018",0.976007,0.764333,"296,948,688",0.956326,"43,275,600"
0.954610,"Sep 04, 2018",0.985064,0.896450,"369,845,831",0.901578,"34,022,600"
0.900889,"Sep 03, 2018",0.933177,0.885830,"349,032,632",0.929503,"25,226,100"
0.924313,"Sep 02, 2018",0.968665,0.902295,"358,107,824",0.940906,"33,358,200"
0.943392,"Sep 01, 2018",0.984088,0.903725,"365,499,627",0.903725,"38,092,500"
0.904235,"Aug 31, 2018",0.923323,0.844667,"350,328,978",0.866423,"40,496,500"
0.865964,"Aug 30, 2018",0.886418,0.796860,"335,501,593",0.871021,"35,118,400"
0.875552,"Aug 29, 2018",0.934117,0.846786,"339,216,285",0.933989,"41,283,600"
0.932399,"Aug 28, 2018",0.960194,0.897636,"361,240,594",0.928502,"44,459,200"
0.912016,"Aug 27, 2018",0.983222,0.867312,"353,343,581",0.913959,"67,465,800"
0.919550,"Aug 26, 2018",0.929260,0.701038,"356,262,489",0.754773,"59,571,200"
0.755967,"Aug 25, 2018",0.768522,0.670552,"292,885,308",0.680656,"24,990,400"
0.675658,"Aug 24, 2018",0.695048,0.636067,"261,771,084",0.662176,"15,019,200"
0.659684,"Aug 23, 2018",0.659684,0.594109,"255,582,256",0.594109,"10,187,900"
