close,date,high,low,marketcap,open,volume
0.006469,"Oct 15, 2018",0.006833,0.006190,"241,957,464",0.006329,"4,914,940"
0.006294,"Oct 14, 2018",0.006557,0.006235,"235,312,473",0.006316,"2,995,470"
0.006310,"Oct 13, 2018",0.006461,0.006122,"235,787,031",0.006122,"3,406,030"
0.006094,"Oct 12, 2018",0.006208,0.005924,"227,614,946",0.005989,"4,324,470"
0.005998,"Oct 11, 2018",0.007075,0.005962,"223,932,469",0.007024,"7,667,740"
0.007053,"Oct 10, 2018",0.007330,0.006898,"263,166,982",0.007330,"5,910,640"
0.007349,"Oct 09, 2018",0.007615,0.007282,"274,093,070",0.007608,"3,649,240"
0.007582,"Oct 08, 2018",0.007668,0.007326,"282,644,969",0.007500,"5,475,820"
0.007484,"Oct 07, 2018",0.007519,0.007201,"278,870,003",0.007290,"4,106,140"
0.007268,"Oct 06, 2018",0.007765,0.007143,"270,683,649",0.007632,"5,557,140"
0.007647,"Oct 05, 2018",0.007847,0.007223,"284,681,414",0.007561,"10,957,800"
0.007559,"Oct 04, 2018",0.008151,0.007405,"281,250,515",0.007675,"22,454,500"
0.007543,"Oct 03, 2018",0.007855,0.006517,"280,517,313",0.006776,"20,739,400"
0.006802,"Oct 02, 2018",0.007136,0.006481,"252,827,905",0.006481,"10,920,500"
0.006474,"Oct 01, 2018",0.006662,0.006151,"240,535,057",0.006155,"8,131,070"
0.006151,"Sep 30, 2018",0.006355,0.006019,"228,429,890",0.006105,"3,324,220"
0.006082,"Sep 29, 2018",0.006231,0.006000,"225,749,176",0.006179,"3,328,400"
0.006180,"Sep 28, 2018",0.006442,0.006095,"229,270,355",0.006225,"4,281,330"
0.006231,"Sep 27, 2018",0.006334,0.005921,"231,039,165",0.006037,"3,910,570"
0.006027,"Sep 26, 2018",0.006320,0.005901,"223,362,206",0.006157,"6,383,410"
0.006141,"Sep 25, 2018",0.006440,0.005785,"227,490,360",0.006440,"7,396,960"
0.006471,"Sep 24, 2018",0.007493,0.006329,"239,624,307",0.007099,"16,219,600"
0.006887,"Sep 23, 2018",0.007361,0.005787,"254,905,556",0.005797,"20,455,000"
0.005801,"Sep 22, 2018",0.006086,0.005586,"214,600,624",0.005963,"3,353,870"
0.005980,"Sep 21, 2018",0.006025,0.005482,"221,084,430",0.005555,"6,291,570"
0.005554,"Sep 20, 2018",0.005572,0.005262,"205,218,629",0.005324,"2,923,650"
0.005319,"Sep 19, 2018",0.005378,0.005085,"196,468,384",0.005274,"2,320,950"
0.005278,"Sep 18, 2018",0.005382,0.005089,"194,844,343",0.005125,"2,283,310"
0.005132,"Sep 17, 2018",0.005623,0.005081,"189,387,055",0.005494,"3,440,430"
0.005493,"Sep 16, 2018",0.005522,0.005347,"202,572,823",0.005490,"2,589,820"
0.005484,"Sep 15, 2018",0.005535,0.005320,"202,174,421",0.005361,"2,070,600"
0.005407,"Sep 14, 2018",0.005524,0.005170,"199,229,171",0.005431,"2,668,070"
0.005419,"Sep 13, 2018",0.005561,0.005109,"199,560,359",0.005109,"3,942,120"
0.005122,"Sep 12, 2018",0.005282,0.004819,"188,539,919",0.005239,"3,372,600"
0.005265,"Sep 11, 2018",0.005531,0.005247,"193,693,669",0.005463,"3,026,550"
